ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
기타,특수체육,경북,경주시,2022년 지적장애인 특수체육 생활체육교실(경주푸른마을),지적장애,"목, 10:00~11:00",,20220301~20220930,20220407~20220929
기타,기타,경북,칠곡군,2022년 장애인 한궁 생활체육교실(칠곡군교통장애인협회),기타장애,"월, 14:00~15:00",,20220301~20220930,20220401~20221030
기타,필라테스,경북,경산시,힐링 필라테스 요가교실(경산시지적발달장애인복지협회),지적장애,수 14:00-15:00,,20220301~20220930,20220406~20220921
기타,에어로빅,경북,경산시,2022년 장애인 에어로빅 종목 생활체육교실(햇님주간보호센터),지적장애,"화, 13:00~14:00",,20220301~20220930,20220405~20220913
기타,기타,경북,성주군,2022년 장애인 생활체육 한궁교실(성주군교통장애인협회),기타장애,"수, 14:00~15:00",,20220301~20220930,20220406~20220921
기타,기타,충남,서천군,(군비)서천군 장애인 드론축구교실,지적장애,"월,수,금",월요일 10:00~10:40  수요일 15:20~16:00 / 16:30~17:30  금요일 10:00~10:40,20220101~20221231,20220314~20221108
기타,뉴스포츠,충남,홍성군,(군비) 2022 한누리 보호시설 생활체육교실,지적장애,매주 목 10시,홍성군 한누리 보호시설 장애인분들을 위한 건강증진교실,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 가람유치원 특수체육교실,지적장애,매주 금 10시40분,홍성군 가람유치원 특수교육지원 대상자 학생들을 위한 특수체육교실,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,홍성군,(군비) 2022 갈산중고등학교 특수체육교실,지적장애,매주 수 10시,"홍성군 갈산 중,고등등학교 특수교육 대상자 학생들을 위한 건강교실",20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 홍성초등학교 특수체육교실,지적장애,매주 화 15시,홍성군 홍성초등학교 특수교육 대상자 학생들을 위한 건강교실,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,홍성군,(군비) 2022 주간보호팀 생활체육교실,지적장애,매주 금 14시,홍성군 장애인복지관 주간보호팀 장애인을 위한 생활체육교실,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 내포초등학교 특수체육교실,지적장애,매주 수 14시 20분,홍성군 내포초등학교 특수교육지원 대상자 학생들을 위한 특수체육교실,20220101~20221231,20220101~20221231
기타,기타,충남,홍성군,(군비) 2022 닌텐도 체육교실 특성화프로그램,지적장애,매주 수 17시,닌텐도 스위치를 이용하여 체력 증진할 수 있는 홍성군장애인체육회 e스포츠 특성화프로그램,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 특수체육 발달반 특성화프로그램,기타장애,매주 월 17시,홍성군 자폐성 장애 아동들을 위한 홍성군장애인체육회 체육 특성화프로그램,20220101~20221231,20220101~20221231
기타,요가,충남,홍성군,(군비) 2022 힐링요가교실 특성화프로그램,기타장애,"매주 화,목 19시",홍성군 장애인과 비장애인이 함께하는 어울림 특성화프로그램,20220101~20221231,20220101~20221231
기타,기타,충남,홍성군,(군비) 2022 릴레이댄스교실 특성화프로그램,지적장애,매주 화 17시,"쇼츠, 릴스 등 릴레이 댄스 챌린지나 k-pop 댄스를 배울 수 있는 홍성군장애인체육회 특성화프로그램",20220101~20221231,20220101~20221231
기타,기타,충남,홍성군,(군비) 2022 라인댄스교실 특성화프로그램,지적장애,매주 목 17시,라인댄스를 배울 수 있는 홍성군장애인체육회의 특성화 프로그램,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,홍성군,(군비) 2022 직업재활팀 생활체육교실,지적장애,매주 목 13시,홍성군 장애인복지관 직업재활팀 장애인을 위한 생활체육교실,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,홍성군,(군비) 2022 보호작업장 생활체육교실,지적장애,"매주 화 13:30, 금 13시",홍성군 장애인보호작업장 장애인 근로자들을 위한 생활체육교실,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 한울초등학교 특수체육교실,지적장애,매주 월 9:50~10:30,홍성군 한울초등학교 특수교육 대상자 학생들을 위한 건강교실,20220101~20221231,20220101~20221231
기타,뉴스포츠,경기,광명시,광명시 스포츠스태킹 교실,지적장애,18:00-19:40,,20220101~20221231,20220101~20221231
기타,헬스,강원,춘천시,(기금) 춘천시장애인종합복지관 발달장애인 몸짱교실,지적장애,월/수 16:00`17:00,춘천시장애인종합복지관,20220301~20220331,20220404~20221026
기타,기타,경북,구미시,2022년 성인발달장애인 스내그골프 교실(구미시장애인부모회),지적장애,"수, 14:30~15:30",,20220301~20220930,20220401~20221031
기타,특수체육,충남,홍성군,(군비) 2022 홍성고등학교 특수체육교실,기타장애,수요일 9:40~11:30,,20220101~20221231,20220101~20221231
기타,골프,강원,횡성군,(기금) 횡성군 장애인 그라운드골프 교실,지적장애,목 14:00~16:00,횡성군장애인체육회,20220301~20220331,20220407~20221103
기타,뉴스포츠,강원,횡성군,(기금) 횡성군 아름다운마을 뉴스포츠 교실,지적장애,매주 금 10:00~12:00,횡성군 장애인체육회,20220301~20220331,20220408~20221104
기타,특수체육,충남,홍성군,(군비) 2022 홍동초등학교 특수체육교실,기타장애,금용일 13:20~14:00,,20220101~20221231,20220101~20221231
기타,체조,강원,춘천시,(지방비) 강원도 춘천시 발달장애인 스누빅 운동발달센터 줌바교실,지적장애,매주 토 4:30~6:30,스누빅 운동발달센터,20220301~20220331,20220402~20221015
기타,체조,강원,춘천시,"(지방비) 강원도 춘천시 발달장애인 스누빅 운동발달센터 체조, 체력UP교실",지적장애,매주 토 3:30~4:30,스누빅 운동발달센터,20220301~20220331,20220402~20221105
기타,음악줄넘기,강원,춘천시,"(지방비) 강원도 춘천시 발달장애인 스누빅 운동발달센터 줄넘기, 체력UP교실",지적장애,매주 화 6:30~7:30,스누빅 운동발달센터,20220301~20220331,20220405~20221118
기타,에어로빅,강원,영월군,(기금) 강원도 영월군 어르신 에어로빅교실,지적장애,매주 수 15:00~16:30,영월군장애인체육협의회,20220301~20220331,20220406~20221109
기타,특수체육,충남,홍성군,(군비) 2022 홍주초등학교 특수체육교실,기타장애,금요일 09:50~11:30,,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 홍성여자고등학교 특수체육교실,기타장애,월요일 10:30~11:20,,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 풋살초등학교 특수체육교실,지적장애,금요일 17:00~17:50,,20220101~20221231,20220101~20221231
기타,에어로빅,대구,수성구,2022년 대구발달장애인에어로빅생활체육교실(황금주간),지적장애,0000,이후 작성,20220301~20220331,20220405~20221004
기타,특수체육,충남,홍성군,(군비) 2022 구항초등학교 특수체육교실,기타장애,화요일 10:00~10:40,,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 감각지각B교실,지적장애,금요일 16:00~16:50,,20220101~20221231,20220101~20221231
기타,필라테스,제주,제주시,(지방비) 중장년 발달장애인 필라테스교실,지적장애,매주화요일 10:00~11:00,,20220301~20220901,20220405~20220913
기타,특수체육,충남,홍성군,(군비) 2022 감각지각 교육청 교실,지적장애,금요일 14:00~15:30,,20220101~20221231,20220101~20221231
기타,기타,충남,홍성군,(군비) 2022 홍성군 줄넘기교실,지적장애,목요일 16:00~17:00,,20220101~20221231,20220101~20221231
기타,특수체육,충남,홍성군,(군비) 2022 홍성군 특수체육 도움반교실,지적장애,수요일 17:00~17:50,,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,홍성군,(군비) 2022 홍성군 볼통통부모회교실,기타장애,수요일 13:00~14:00,,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,홍성군,(군비) 2022 홍성군 볼통통교실,지적장애,화요일 17:00~17:50,,20220101~20221231,20220101~20221231
기타,기타,강원,양양군,(도비) 정다운마을 지적장애인 댄스교실,지적장애,매주 목 14:00-15:00,ㅇ 기초체력이 부족한 거주장애인들에게 활발한 신체활동을 통한 건강 증진,20220301~20220331,20220401~20221031
기타,기타,강원,고성군,(도비) 고성군 농아인 수중운동교실,청각장애,"매주 화,금 14:00-16:00",ㅇ 장애인들의 건강한 삶의 질을 향상하기 위한 수중운동교실,20220301~20220331,20220405~20221122
기타,기타,강원,인제군,(도비) 인제군 지적장애인 방송댄스교실,지적장애,매주  수 13:00-15:00,ㅇ 동계기간 활동이 어려웠던 장애인들의 몸과 마을 건강하게 유지할 수 있도록 하긴 위한 방송댄스교실,20220301~20220331,20220406~20221026
기타,뉴스포츠,경기,오산시,오산시 찾아가는 생활체육교실,지적장애,09:00-18:00,오산시장애인체육회에서는 오산시 관내 초등학교 중학교 특수학급 대상으로  체육수업을 지원해주고 있습니다,20220101~20220228,20220301~20221231
기타,기타,경기,화성시,화성시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,양주시,양주시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,이천시,이천시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,안성시,안성시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,의왕시,의왕시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,포천시,포천시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,양평군,양평군 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,과천시,과천시 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,,경기,가평군,가평군 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,기타,경기,연천군,연천군 지도자 교실,기타장애,09:00~18:00,,20220101~20221231,20220101~20221231
기타,음악줄넘기,대구,수성구,2022년 발달청소년음악줄넘기생활체육교실(포올),지적장애,매주 토 10:00~11:00,발달장애 청소년의 음악줄넘기 교실입니다.,20220101~20220130,20220401~20221201
기타,기타,대구,중구,2022년 대구지적장애인클라이밍생활체육교실(피플협동),지적장애,0000,사회적협동조합,20220101~20220130,20220401~20221030
기타,기타,대구,중구,2022년 대구지체장애인국학기공생활체육교실(지장협),지체장애,0000,"한민족 고유 심신수련법인 ‘선도’를 현대인에게 맞게 체계화한 생활스포츠입니다. 기공, 기체조, 호흡명상, 배꼽힐링등 국학기공의 수련법을 통해 몸과 마음을 단련하는 전통스포츠입니다.",20220209~20220210,20220501~20221030
기타,요가,대구,남구,2022년 대구시각장애인어르신요가생활체육교실(시각주간),시각장애,"매주 수, 목 13:00~14:00",시각장애 어르신들의 요가교실,20220101~20220130,20220401~20221201
기타,음악줄넘기,대구,달성군,2022년 대구지적장애인음악줄넘기생활체육교실(사랑마을),지적장애,0000,줄넘기는 남녀노소 누구나 언제 어디서든 할 수 있는 쉽고 친근한 운동이지만 지루한 면도 있다. 기초체력이 부족한 이용자들 대상으로 올바르게 뛰는 방법을 터득하고 전문강사의 도움으로 체계적인 수업을 수행한다.,20220101~20220130,20220401~20221130
기타,풋살,충남,아산시,(시비)2022년 청각장애풋살교실,청각장애,토 14:00~16:00,,20220101~20221231,20220101~20221231
기타,뉴스포츠,충남,청양군,거점형 체육시설 장애청소년 뉴스포츠교실,지적장애,매주 월 10시 30분,,20220302~20221231,20220302~20221231
기타,기타,대구,달서구,2022년 대구여성지적발달장애인생활체육교실(백향목),지적장애,13:30~14:30,"? 여성장애인을 대상으로 복싱 통합운동 수업을 통해 신체재활을 도모하여 신체적, 심리적, 사회적 영역을 향상시키고 사회통합을 이루고자  한다.  ? 여성장애인 복싱 통합운동 교실을 통한  재활훈련으로 자립을 돕고 스스로 건강에  대한 책임을 지며 지속적이고 자발적인 신체활 동을 할 수 있게 동기를 부여한다.  ? 여성장애인의 취미/여가뿐만 아니라 체력단련 및  기본 자세 교정을 통해 삶의 질 향상을 도모하고자  한다.",20220101~20220331,20220405~20221004
기타,기타,대구,달서구,2022년 대구지적장애인복싱생활체육교실(예은주간),지적장애,0000,"남성 장애인을 대상으로 활동적인 복싱다이어트 수업을 통해 신체 재활을 도모하여 신체적, 심리적, 사회적 영역을 향상시키고 사회통합을 이루고자 한다. 또한 남성 장애인 복싱다이어트교실을 통한 재활훈련으로 자립을 돕고 스스로 건강에 대한 책임을 지며 지속적이고 자발적인 신체 활동을 할 수 있게 동기를 부여한다. 남성 장애인의 취미 여가를 위한 차별화된 복싱다이어트 수업으로 체력단련 및 삶의 질 향상을 도모하고자 한다.",20220101~20220331,20220401~20220902
기타,음악줄넘기,대구,북구,2022년 대구장애아동음악줄넘기생활체육교실(강북),지적장애,매주 월 10:00~11:00,장애아동의 음악줄넘기 교실입니다.,20220101~20220130,20220401~20221201
기타,뉴스포츠,대구,달서구,2022년 대구지적장애인뉴스포츠생활체육교실(교육협회),지적장애,0000,"지적장애를 가지고 있는 청소년들은 스스로 여가생활을 개발하거나 표현을 함에 어려움을 가지고 있다. 또한, 지적장애 청소년들은 전체적인 발달이 지연되고 기초적인 감각기능과 운동기능 면에서 특히 두드러진 결함을 보인다. 지적장애 학생들의 건강한 활동을 위해서 지적장애 학생의 근력, 근지구력, 심폐 지구력, 유연성, 순발력, 신체 조성, 상호작용 능력 향상에 목적을 두고 수업을 진행한다. 수업을 진행하면서 지적장애 청소년의 사회성을 향상하기 위해 또래 집단에서의 상호작용이 필요한 종목을 진행하고 수행기능에 맞추어 경기를 자유롭게 진행할 것이다.",20220401~20220430,20220501~20221031
기타,헬스,충남,청양군,(자담) 재활운동교실,지체장애,매주 금(탄력 운영),,20220301~20221030,20220301~20221030
