<<<<<<< HEAD
연번,자치구,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,강남구,삼성,선릉,역삼,강남,압구정,신사,매봉,도곡,대치,학여울,대청,일원,수서,청담,강남구청,학동,논현,언주,선정릉,삼성중앙,봉은사,21
2,강동구,천호,강동,길동,굽은다리,명일,고덕,상일동,둔촌동,강일,암사,천호,강동구청,둔촌오륜,중앙보훈병원,14
3,강북구,수유,미아,미아사거리,3
4,강서구,방화,개화산,김포공항,송정,마곡,발산,우장산,화곡,까치산,9
5,관악구,낙성대,서울대입구,봉천,신림,4
6,광진구,건대입구,구의,강변,군자,아차산,광나루,중곡,군자,어린이대공원,건대입구,뚝섬유원지,11
7,구로구,구로디지털단지,대림,신도림,도림천,남구로,천왕,온수,7
8,금천구,가산디지털단지,1
9,노원구,당고개,상계,노원,석계,태릉입구,화랑대,수락산,마들,노원,중계,하계,공릉,태릉입구,13
10,도봉구,창동,쌍문,도봉산,3
11,동대문구,신설동,제기동,청량리,용두,신설동,장한평,6
12,동작구,사당,신대방,동작,이수,사당,이수,남성,숭실대입구,상도,장승배기,신대방삼거리,보라매,12
13,마포구,합정,홍대입구,신촌,이대,아현,마포,공덕,애오개,월드컵경기장,마포구청,망원,합정,상수,광흥창,대흥,공덕,16
14,서대문구,충정로,홍제,무악재,독립문,충정로,5
15,서초구,교대,서초,방배,잠원,고속터미널,교대,남부터미널,양재,남태령,반포,고속터미널,내방,12
16,성동구,상왕십리,왕십리,한양대,뚝섬,성수,용답,신답,금호,옥수,신금호,행당,왕십리,마장,답십리,14
17,성북구,길음,성신여대입구,한성대입구,보문,안암,고려대,월곡,상월곡,돌곶이,9
18,송파구,잠실나루,잠실,잠실새내,종합운동장,가락시장,경찰병원,오금,올림픽공원,방이,오금,개롱,거여,마천,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,28
19,양천구,양천구청,신정네거리,신정,목동,오목교,5
20,영등포구,문래,영등포구청,당산,양평,영등포구청,영등포시장,신길,여의도,여의나루,신풍,대림,11
21,용산구,서울,숙대입구,삼각지,신용산,이촌,효창공원앞,삼각지,녹사평,이태원,한강진,10
22,은평구,구파발,연신내,불광,녹번,응암,역촌,불광,독바위,연신내,구산,새절,증산,디지털미디어시티,13
