ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
농구,,광주,서구,빛고을농구(여름날),지적장애,"매주 화,금 오후 6시~9시","장애인,비장애인 구분없는 어울림 농구 클럽"
농구,,경기,남양주시,남양주시 장애인농구클럽,지적장애,매주 금 오후 6시~8시,"성인발달장애인들의 체력단련과 협동심을 바탕으로 건전한 여가문화를 조성하며 대인관계 향상 및 스포츠를 통한 장애인의 체육*문화 발전과 사회성 증진을 도모, 지역사회 통합을 목적으로 한다."
농구,,충남,청양군,(도비)청양농구클럽,지적장애,매주 목 오후 1시30분,
농구,,대전,유성구,아담의슬램덩크,지적장애,매주 수 오후 2시,농구 동호회입니다.
농구,,강원,원주시,원주시드림농구클럽,지적장애,"매주 화, 목 오후 6시~8시","발달장애인들을 대상으로 농구를 통해 신체적 행상과 장애인들의 사회성 향상, 자존감 고취들을 위해 운영되고 있음."
농구,,서울,관악구,토네이도윙 청각농구클럽,청각장애,매주 토 or 일 오후 1시~3시,&apos; 서울 토네이도 윙 농인 농구팀 &apos; 입니다~~*  : )
농구,,경기,성남시,성남 에어어택,지적장애,월 목,전통의 강자 통합체육을 선도합니다
농구,,경기,구리시,구리시수리농구클럽,지적장애,매주 토 오후 3시,지적장애와 자폐장애의 청소년들로 구성된 농구클럽입니다.
농구,휠체어농구,충남,아산시,(도비)아산휠스파워 휠체어농구클럽,지체장애,"매주 화,수18:00~20:00/토10:00~12:00",
농구,,강원,춘천시,스마일휠체어농구단,지체장애,"매주 토,일 오후 2시 30분 ~(3사 30분~)",강원도 휠체어농구의 발전과 보급에 힘쓰며 대회참가를 통해 실력을 향상시켜 우수한 선수를 육성하고 꾸준한 훈련을 통해 체력 향상과 자존감을 향상시키는 것을 목표로 활동하고 있습니다.
다트,,서울,강서구,강서다트동호회,지체장애,매주 토요일 2시,집에만 있던 중증 장애인의 참여로 사회성복귀와 주기적 스포츠 활동을 통한 건전한 여가 생활 정착과  장애인들의 건전한 여가 활동을  만들어줌으로서  강서구에 거주하는 장애인들의 체육활동을 증진 시키는데   중점을 두고 있음.
다트,,서울,송파구,송파구 큐피트 다트 클럽,지체장애,매주 금욜 오후1~3시까지,장애우들의 행복  추구권과 역량 강화를 위한  모임 입니다
다트,,강원,영월군,영월한궁동호회,지적장애,매주 수 오후 13:30~15:30,
다트,,서울,영등포구,영등포구 장애인 다트클럽,지체장애,월 수 오후 4시 이후,
다트,,대전,대덕구,대전 한궁 동호회,지적장애,"매주 화,수 14:00~15:00",
당구,,충남,서천군,(도비) 당구 어울림 클럽,비장애인,"매주 화,오후2시",
당구,레크리에이션,전북,완주군,완주군장애인당구동호회,지체장애,"매주 화,금 오후6시",
당구,,전북,부안군,노을 당구 동호회,지체장애,"매주 수,금 14:00-16:00",
당구,,서울,성동구,성동구 SD당구 동호인클럽,기타장애,"매주 목,금 17:30",서울시 성동구 관내 장애인 당사자 환영합니다.
당구,,경남,양산시,울타리당구동호회,지체장애,매주 토요일 오후2시,장애인과 비장애인이 당구라는 스포츠를 통하여 함께 살아 갈 수 있음을 실천하고  꾸준한 활동을 통한 개인역량 강화에도 이바지 함을 목적으로 한다.
당구,,경남,산청군,경호 당구,지체장애,월2-3회/오전 10시,
당구,,경기,성남시,성남농아인당구클럽,청각장애,매주 토요일 오후 5시,
당구,,경기,부천시,부천시장애인당구협회,기타장애,"매주 화, 목요일 오후2시_4시",재활과 협동을 배웁니다.  어울림당구클럽입니다.
당구,,경기,양주시,승승당구,지체장애,"매주 월,수 오후2시",중증장애인들이 사회일원으로 의미를 갖고 자신감을 찾고자 만들어진 클럽입니다.  현재는 장애인과 비장애인이 어울려 즐겁게 활동하고 있는 최고의 클럽입니다.
당구,,서울,영등포구,영등포구 투터치 당구클럽,지체장애,"매주 수,목 오후1시",
당구,,전북,익산시,주얼리당구클럽,지체장애,매주수 15시,
당구,,경기,파주시,파주시장애인당구협회,지체장애,"매주 목, 오후2시~3시",
당구,,전북,익산시,한마음당구클럽,지체장애,매주일 14시,
당구,,대전,중구,동그라미 클럽,기타장애,"매주 수,토 오전 10시",동그라미 클럽은 생활 체육인 당구를 매개체로 장애인과 사회복지사 그리고 일반인들이 함께하는 네트워크를  형성하여 건강한 사회 생활을 목표로 보람과 희망을 찾아가는 동호회 입니다.   지속적인 운영으로 지역사회 발전에 참여하는 동그라미입니다
당구,,경남,양산시,양산데프빌리어드클럽,청각장애,매주 일 오후14시00분,스포츠를 통하여 농아인의 체력 단련 및 사회 통합 도모
당구,,경남,진주시,꿈꾸는 당구클럽,지체장애,"매주 월,화,수,목,금  오후2시~5시","장애인과 비장애인과의 어울림, 체력강화, 친목도모"
당구,,충남,홍성군,(도비)2022년 홍성군 당구동호회,지체장애,"매주 화, 목 18:00~19:00",
당구,,서울,강서구,강서구장애인당구동호인클럽,지체장애,매주 월 2시,"강서구 장애인당구협회는 지역사회에서 장애인 인권신장에 앞장서고 장애인,비장애인이 어울려 편견없이 스포츠를 즐기는 클럽이며, 매년 당구대회을 유치 하기도 합니다."
당구,,충남,아산시,(도비)스마트당구클럽,지체장애,매주 금 14:00~17:00,
당구,,전남,담양군,담양군나이스당구클럽,지체장애,매주 목요일 오후 2시,안녕하세요~!!  담양군 장애인 &amp; 비장애인 함께 하는 동호회 당구클럽 입니다.  많은 관심과 참여 부탁드립니다.
당구,,충남,청양군,(도비)청양당구클럽,지체장애,매수 수 오후 3시,
당구,,전남,여수시,여수장애인한마음당구클럽,지체장애,매주 일 오후2시~오후4시,여수시 거주하는 장애인 으로 당구에 관심있는 분이라면 누구나  참여할 수 있습니다  당구를 통해 재활과 체력증진을 도모하고 장애인 과 비장애인의 소통의 기회 마련하는 모임입니다
당구,,충북,옥천군,2022 스마일당구클럽,지체장애,매주 목 오후 2시~4시,옥천군 스마일당구클럽입니다~^^
당구,,충남,천안시,(기금)구슬모아당구클럽,지체장애,매주 화/목 17:00~19:00,
