자치구,스포츠_동호회_수,장애인_커뮤니티,내부시설수,외부시설수,2022년_생활체육_총강좌수,장애인_의료_사회복지시설_수
강남구,-0.6811705777905549,-0.49242483471606163,1.0923782755026454,-0.5320163262006646,-0.6961987567334678,2.2335517593995826
강동구,0.03924546051864708,-0.5541358212618194,1.449022913393399,-0.6037892915349196,0.2589102767125931,0.6533919155651929
강북구,0.6919309695953387,-0.5391454864169892,-0.14677725888065374,0.15076661754457488,-0.778515718640769,-0.7779861384909604
강서구,1.3067999484229411,0.10593344822110427,0.00016175432076480215,0.6114322104040624,-0.8283780762878218,-0.3725957798620011
관악구,-1.099720494122913,-0.3105738895738364,0.21403479462886288,0.9482872316958973,-0.13553375933435588,-0.3714498970627602
광진구,-0.5268216207875632,-0.8560370106713842,-0.42818326529924583,-0.4345506177958657,1.0280458688321743,0.04407008067351878
구로구,-1.072447050459835,0.3533514082609798,-0.8298358414451504,-0.6032706697003176,-0.2714371182168947,-0.8421126097481848
금천구,-0.4571489621682137,-0.8560370106713842,-1.1037513531102112,-0.39055488785614856,0.37304630158803614,-0.3031574004305424
노원구,1.4444911489118466,-0.6536752255761549,-0.4926432256403184,-0.9549154817765274,0.4458569551666887,0.9475883972012572
동작구,0.04291897168145033,-0.0992895506151231,-0.18963701464466948,0.8053548447116261,0.6631204268630482,-0.08984730163297999
마포구,0.6141455198193667,-0.4292819280892745,0.571622033554527,-0.9549154817765274,0.9188492626273751,0.6471866608424723
서초구,-0.3852568277506104,1.76533705237211,0.32117054593284894,3.313389408497785,-0.8749868181967774,1.581076180438133
성동구,-0.012866103252189834,-0.37173057231518863,-0.5187325946994957,-0.9549154817765274,2.076345807553799,-0.5736801537733891
성북구,0.9772208630771164,0.09197415133906225,0.518546805933706,0.14766893756362942,0.3334518864490195,-1.6526899303197753
송파구,2.6635644196618036,-0.8560370106713842,-0.3632639894253083,-0.004299219612505786,0.8232774422584044,0.3774522835221381
양천구,-0.48122553310234734,0.403082495997007,-0.4383333314551026,-0.2227059858483904,-1.0595410360196302,-0.7872964109369562
영등포구,1.0996789279580887,1.8049668769169178,-0.7593552080357692,-0.5127896708711616,0.33758770861407833,0.33891977711591686
용산구,-0.07203471138389914,-0.16170220231448673,-0.2650284798711302,-0.9549154817765274,-0.7251727458078605,0.503498539571106
은평구,-0.4158137914878496,-0.8560370106713842,-0.33717875505492667,-0.3644532427875857,-1.113224028007893,-0.4963752758297949
종로구,1.1876791744490185,2.819377835227803,3.3359720523648244,2.251103054259939,2.710467449387277,0.35685761227663715
중구,-0.45793293982568484,2.0528603969711963,-1.1037513531102112,0.17281559975910668,-1.3368458484894872,2.0999543241082095
중랑구,-0.3525863169084586,-0.5850305835594443,-0.8582293587374883,0.6210546968919816,-0.6206178553524253,-1.7270874762596493
동대문구,-1.3508834916851653,-0.5040272613228775,-0.25332984225318494,-0.1361055760694877,-0.40653862652673056,-1.3991565930143732
서대문구,-1.3508834916851653,-0.41568125618800417,1.6888730491414972,-0.4427597041689173,0.21487685005110632,0.009060259160805415
도봉구,-1.3508834916851653,-0.8560370106713842,-1.1037513531102112,-0.9549154817765274,-1.3368458484894872,-0.399172822513608
